Test Number,Array Size,Insertion Sort (Random),Quick Sort (Random),Insertion Sort (Ascending),Quick Sort (Ascending),Insertion Sort (Descending),Quick Sort (Descending)
1,10000,0.170345,0.0003943,0.0000232,0.0005014,0.333299,0.0004204
2,20000,0.657714,0.0010189,0.000047,0.0010269,1.28612,0.0008322
3,30000,1.46265,0.0014248,0.0000681,0.0014713,2.9083,0.0013484
4,40000,2.58812,0.0018586,0.00001248,0.0017405,5.1723,0.0020792
5,50000,4.09217,0.0027923,0.00001148,0.0025925,8.49202,0.0025524
6,60000,5.89177,0.0033984,0.00001438,0.0038668,11.8407,0.0034019
7,70000,8.06002,0.0038902,0.00002001,0.0034003,17.0362,0.0036273
8,80000,10.5129,0.0045558,0.00003071,0.0038352,20.9508,0.0046365
9,90000,13.347,0.0042764,0.00002086,0.0044754,26.5419,0.0047877
10,100000,16.1842,0.0048604,0.00002422,0.0052811,34.1065,0.0048226
11,110000,20.3528,0.0066157,0.00002602,0.0066058,39.3418,0.0064434
12,120000,23.4197,0.0071076,0.00003253,0.0060244,49.4613,0.0059716
13,130000,27.7608,0.0066997,0.00003331,0.0066385,54.2484,0.006592
14,140000,31.4216,0.0068679,0.00003242,0.007291,62.9407,0.0076484
15,150000,36.101,0.0075599,0.00004701,0.0076109,72.1653,0.0074677
16,160000,41.1282,0.0086976,0.00005627,0.0080425,83.1646,0.0091256
17,170000,46.3671,0.0084915,0.00004054,0.0098133,92.7552,0.0087103
18,180000,53.6754,0.0092666,0.00004265,0.01039,104.772,0.0092729
19,190000,58.1344,0.0104261,0.00004797,0.0099438,115.787,0.0098624
20,200000,64.3501,0.010381,0.00004916,0.010499,130.906,0.0107906
21,210000,72.7598,0.0119434,0.00004915,0.0110835,144.757,0.0107984
22,220000,79.0573,0.0115534,0.00005055,0.0116659,155.597,0.0118929
23,230000,87.1756,0.0122018,0.00008666,0.0121978,173.08,0.0148674
24,240000,94.7337,0.0143982,0.00007414,0.0136916,189.391,0.0124569
25,250000,102.075,0.0140845,0.00005726,0.013616,204.338,0.0135679
26,260000,109.911,0.0154383,0.00006179,0.0142244,218.807,0.0138194
27,270000,117.235,0.0162019,0.00008666,0.015808,237.39,0.0154586
28,280000,126.883,0.0150224,0.00008357,0.0160741,253.228,0.0151922
29,290000,136.525,0.0158858,0.00006783,0.015824,274.009,0.0159268
30,300000,148.122,0.0164468,0.0000687,0.0174324,296.03,0.0164626
31,310000,157.914,0.0172819,0.00007145,0.0181395,312.072,0.0174571
32,320000,167.019,0.0188366,0.00015627,0.0179957,345.664,0.0181343
33,330000,182.515,0.0191908,0.00010413,0.0188561,356.926,0.0197525
34,340000,190.424,0.0232497,0.00005726,0.0224637,383.314,0.0216273
35,350000,200.649,0.0235785,0.00012795,0.0228544,405.005,0.0214596
36,360000,213.64,0.0218742,0.00008414,0.0209578,427.018,0.0208891
37,370000,224.317,0.0214503,0.00008753,0.0227119,449.129,0.0210252
38,380000,238.876,0.0224606,0.00009292,0.02256,464.747,0.0224357
39,390000,243.957,0.0243247,0.00010413,0.0226883,495.437,0.0224771
40,400000,259.547,0.0235809,0.00011297,0.0245002,527.161,0.0237517
41,410000,277.932,0.0246646,0.00010765,0.0245447,551.056,0.0245436
42,420000,288.069,0.0249161,0.00010271,0.0254105,576.761,0.0250622
43,430000,296.569,0.0272513,0.00010413,0.025909,596.487,0.0260855
44,440000,317.319,0.0275631,0.0001121,0.0274292,625.442,0.0265567
45,450000,324.314,0.0288985,0.00010425,0.0302539,650.938,0.02808
46,460000,340.038,0.0279227,0.0001221,0.0284978,679.084,0.0274748
47,470000,354.778,0.0291695,0.0001073,0.0285354,1357.36,0.0290965
48,480000,375.151,0.0306932,0.00012064,0.0304534,748.818,0.0290457
49,490000,390.382,0.0316178,0.0001156,0.0306875,826.374,0.0300637
50,500000,401.083,0.0306525,0.00012703,0.0323862,803.106,0.0308044
